id,Predicted_Label
384,4
155,2
416,4
17,4
261,3
216,4
186,4
207,3
392,4
297,0
75,4
78,1
187,0
182,4
283,4
225,4
34,3
218,0
415,3
276,2
266,0
321,1
190,0
396,2
39,2
217,4
29,3
404,3
214,4
172,4
424,3
49,4
237,0
25,4
316,2
198,0
264,4
343,3
28,1
142,4
211,0
394,0
71,3
106,4
134,0
92,1
268,4
341,1
143,2
413,4
373,2
85,4
425,4
178,0
61,3
286,3
91,4
4,0
150,4
366,3
300,4
145,1
393,4
133,3
329,4
191,4
184,3
221,2
151,1
147,3
79,3
232,2
67,3
94,3
387,4
235,0
48,4
358,4
180,1
355,4
389,3
412,4
223,0
136,1
327,1
230,3
354,4
324,2
60,2
